|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
1	0	0.05	1	0	-0.0135	0	0.0338	0	0	0.07369	0.1684	0.04497	0	0	0.03473	0.02672	0.04692	0	0	0.01299	0.001207
1	1	0.05	1	0	0.1003	193.9	0.03282	0	0	0.05484	0.08842	0.03454	0	0	0.04945	0.05674	0.04439	0	0	0.01085	0.002855
1	2	0.05	1	0	0.09749	192.6	0.03395	0	0	0.06954	0.1975	0.02946	0	0	0.04791	0.06355	0.04382	0	0	0.01435	0.001421
1	3	0.05	1	0	0.1823	192.7	0.03502	0	0	0.07142	0.1164	0.02827	0	0	0.04305	0.04698	0.0441	0	0	0.0199	0.002457
1	4	0.0495	0.99	0.01	0.2903	190.4	0.0368	0	0	0.07904	0.2935	0.02882	0	0	0.04666	0.06616	0.04437	0	0	0.01792	0.004077
1	5	0.046	0.91	0.09	0.4875	190.6	0.03864	0	0.1308	0.06542	0.0731	0.02956	0	0.07031	0.04969	0.0697	0.04435	0	0.1	0.01072	0.002098
1	6	0.049	0.97	0.03	0.519	190.6	0.03998	0	0.2632	0.0949	0.2408	0.03103	0	0.1367	0.03828	0.04062	0.04412	0	0.1	0.01602	0.003196
1	7	0.0395	0.78	0.22	0.6747	189.5	0.04147	0	0.3216	0.06742	0.1565	0.03344	0	0.1562	0.04859	0.06406	0.04369	0	0.1	0.02474	0.003039
1	8	0.0355	0.71	0.29	0.7078	189.4	0.04253	0	0.3492	0.08566	0.1625	0.03533	0	0.1562	0.04387	0.05225	0.0433	0	0.1	0.02655	0.005456
1	9	0.034	0.65	0.35	0.7092	190	0.04364	0	0.3624	0.08535	0.2031	0.03766	0	0.1562	0.05147	0.07183	0.04354	0	0.1	0.02031	0.00268
