|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
2	0	0.05	1	0	0.01039	0	0.03618	0	0	0.05651	0.1178	0.0443	0	0	0.03305	0.02824	0.04501	0	0	0.008302	0.002774
2	1	0.05	1	0	0.06058	194.3	0.03355	0	0	0.06096	0.2039	0.03428	0	0	0.04517	0.06605	0.04453	0	0	0.01787	0.002582
2	2	0.05	1	0	0.1215	192.1	0.03393	0	0	0.06503	0.2658	0.03036	0	0	0.04738	0.05875	0.04378	0	0	0.01705	0.002767
2	3	0.05	1	0	0.1927	191.3	0.03531	0	0	0.05078	0.07134	0.02835	0	0	0.05131	0.07795	0.0434	0	0	0.01251	0.002933
2	4	0.0475	0.95	0.05	0.3125	191	0.03694	0	0	0.08261	0.2539	0.02815	0	0	0.05004	0.08777	0.04338	0	0	0.01425	0.003513
2	5	0.047	0.94	0.06	0.4693	191	0.03935	0	0.1276	0.0608	0.1394	0.02826	0	0.07812	0.04919	0.06603	0.04328	0	0.1	0.01729	0.00309
2	6	0.048	0.96	0.04	0.4484	190.8	0.04081	0	0.2556	0.0665	0.08353	0.02939	0	0.1562	0.04554	0.06629	0.04395	0	0.1	0.01854	0.003082
2	7	0.0455	0.91	0.09	0.5368	189.2	0.04124	0	0.3092	0.09054	0.1814	0.03209	0	0.1758	0.04469	0.06181	0.04367	0	0.1	0.01925	0.004163
2	8	0.042	0.8	0.2	0.6466	191.4	0.04316	0	0.3408	0.09262	0.2535	0.0331	0	0.1836	0.03556	0.03773	0.04402	0	0.1	0.03075	0.005323
2	9	0.041	0.81	0.19	0.7216	192.5	0.04408	0	0.3488	0.06108	0.1469	0.0353	0	0.1758	0.04193	0.05766	0.04362	0	0.1	0.0214	0.004747
2	10	0.036	0.71	0.29	0.7451	191	0.04507	0	0.368	0.09402	0.1891	0.03685	0	0.168	0.04767	0.06977	0.04367	0	0.1	0.02591	0.00544
2	11	0.028	0.52	0.48	0.7834	191.6	0.04656	0	0.3728	0.08633	0.3897	0.0398	0	0.1445	0.0444	0.05555	0.04358	0	0.1	0.02424	0.004872
2	12	0.026	0.51	0.49	0.7851	190.9	0.04702	0	0.3732	0.1058	0.196	0.04267	0	0.1328	0.04212	0.07025	0.04341	0	0.1	0.02495	0.003867
2	13	0.0255	0.46	0.54	0.7985	190.5	0.04808	0	0.3844	0.08211	0.1052	0.04442	0	0.1406	0.05882	0.09363	0.04407	0	0.1	0.02666	0.003926
2	14	0.0185	0.34	0.66	0.8206	190.1	0.04938	0	0.3888	0.08851	0.2316	0.04608	0	0.1562	0.04319	0.04782	0.04395	0	0.1	0.03184	0.006617
2	15	0.0175	0.31	0.69	0.8353	189.9	0.05044	0	0.3856	0.0869	0.1636	0.04822	0	0.125	0.04728	0.0664	0.04475	0	0.1	0.02288	0.007406
2	16	0.019	0.32	0.68	0.8439	193	0.05032	0	0.3912	0.08449	0.2758	0.05047	0	0.1172	0.04731	0.05482	0.04398	0	0.1	0.0263	0.00721
2	17	0.015	0.28	0.72	0.8673	190.9	0.05111	0	0.3884	0.08178	0.1569	0.05163	0	0.1133	0.05498	0.0592	0.04341	0	0.1	0.02931	0.00566
2	18	0.0145	0.23	0.77	0.8614	190.5	0.05236	0	0.3972	0.1073	0.3756	0.05375	0	0.1133	0.05307	0.08362	0.04368	0	0.1	0.0332	0.006168
2	19	0.017	0.27	0.73	0.8061	190.2	0.05226	0	0.39	0.0771	0.1021	0.0553	0	0.1133	0.05313	0.09155	0.04358	0	0.1	0.02487	0.003133
2	20	0.0125	0.2	0.8	0.836	190.9	0.05318	0	0.3908	0.08028	0.1395	0.05652	0	0.1094	0.05321	0.08632	0.04427	0	0.1	0.02851	0.005416
2	21	0.0115	0.21	0.79	0.8633	190.4	0.05447	0	0.3904	0.08882	0.1643	0.05835	0	0.1094	0.04829	0.06297	0.04385	0	0.1	0.02742	0.003419
2	22	0.0105	0.17	0.83	0.885	189.9	0.0552	0	0.3904	0.09282	0.1814	0.06075	0	0.09766	0.08301	0.186	0.04482	0	0.1	0.03236	0.007172
2	23	0.0075	0.11	0.89	0.9104	190.2	0.05564	0	0.3924	0.1236	0.2272	0.06251	0	0.1016	0.0941	0.1448	0.04567	0	0.1	0.03394	0.006924
2	24	0.0085	0.11	0.89	0.9147	191.1	0.05604	0	0.3964	0.1002	1.156	0.06416	0	0.1094	0.05219	0.0843	0.04462	0	0.1	0.03063	0.003702
2	25	0.01	0.15	0.85	0.8682	190.3	0.05652	0	0.3956	0.1014	0.2667	0.06655	0	0.09766	0.09121	0.1371	0.04427	0	0.1	0.03909	0.008522
2	26	0.009	0.14	0.86	0.8947	190	0.05675	0	0.3932	0.1089	0.658	0.06787	0	0.1055	0.07403	0.1578	0.04432	0	0.1	0.03231	0.006714
2	27	0.01	0.15	0.85	0.8909	192.7	0.05823	0	0.3908	0.08907	0.1299	0.06977	0	0.1016	0.05528	0.1175	0.04424	0	0.1	0.0197	0.004102
2	28	0.0075	0.12	0.88	0.8971	191.1	0.05824	0	0.3952	0.07638	0.1561	0.07221	0	0.1016	0.06719	0.1335	0.04415	0	0.1	0.0259	0.003704
2	29	0.0075	0.11	0.89	0.9255	190.6	0.0586	0	0.3876	0.0938	0.3174	0.07418	0	0.1133	0.07921	0.2052	0.04389	0	0.1	0.0359	0.004681
2	30	0.008	0.12	0.88	0.9114	191.3	0.05807	0	0.3912	0.1133	0.333	0.0752	0	0.1055	0.08501	0.1729	0.04373	0	0.1	0.03024	0.00429
2	31	0.0115	0.18	0.82	0.8793	191.8	0.05885	0	0.3928	0.1164	0.2967	0.078	0	0.09766	0.07879	0.1745	0.04331	0	0.1	0.03087	0.005209
2	32	0.0155	0.21	0.79	0.8315	191.7	0.05832	0	0.3932	0.1349	0.6772	0.07976	0	0.09766	0.04943	0.1123	0.04351	0	0.1	0.03295	0.004415
2	33	0.0135	0.18	0.82	0.8533	191.3	0.0593	0	0.3936	0.101	0.3134	0.08092	0	0.1094	0.08762	0.1718	0.04434	0	0.1	0.02158	0.006221
2	34	0.009	0.13	0.87	0.8666	191.6	0.05951	0	0.3956	0.09111	0.2159	0.08265	0	0.1055	0.09368	0.1488	0.04265	0	0.1	0.03165	0.004018
2	35	0.0065	0.09	0.91	0.9055	192	0.05987	0	0.3932	0.09613	0.2742	0.08409	0	0.1055	0.08478	0.2285	0.04327	0	0.1	0.02882	0.005713
2	36	0.0115	0.14	0.86	0.8901	193.1	0.05989	0	0.3956	0.09898	0.6365	0.08521	0	0.09766	0.05542	0.1178	0.04332	0	0.1	0.03135	0.002721
2	37	0.0095	0.12	0.88	0.8771	192.1	0.06081	0	0.3924	0.08708	0.2488	0.08745	0	0.09766	0.07036	0.2505	0.04321	0	0.1	0.03503	0.004366
2	38	0.0155	0.21	0.79	0.8311	192.4	0.06129	0	0.3932	0.09837	0.2284	0.0886	0	0.09766	0.117	0.4018	0.04316	0	0.1	0.04017	0.005047
2	39	0.016	0.19	0.81	0.8202	192.2	0.06138	0	0.3992	0.1187	0.3251	0.08954	0	0.1016	0.08184	0.2221	0.04367	0	0.1	0.02987	0.003755
2	40	0.0095	0.14	0.86	0.8824	191.5	0.06149	0	0.3948	0.1113	0.334	0.09112	0	0.09375	0.08877	0.2965	0.0428	0	0.1	0.03313	0.004821
2	41	0.011	0.14	0.86	0.8686	192.3	0.0617	0	0.3936	0.1073	0.4992	0.09262	0	0.09766	0.06309	0.1741	0.04368	0	0.1	0.02664	0.001909
2	42	0.0075	0.11	0.89	0.8773	192.6	0.06313	0	0.3972	0.102	0.1803	0.09441	0	0.09766	0.1103	0.4368	0.04362	0	0.1	0.03518	0.00382
2	43	0.0075	0.12	0.88	0.8723	193	0.06186	0	0.398	0.09125	0.1358	0.09515	0	0.09766	0.1141	0.7458	0.04436	0	0.1	0.03759	0.01455
