|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
8	34	0.0115	0.16	0.84	0.8344	192.6	0.06072	0	0.402	0.1082	0.1473	0.08825	0	0.1172	0.1097	0.4254	0.0437	0	0.1	0.02601	0.01368
8	35	0.0115	0.19	0.81	0.8267	193.8	0.06138	0	0.3968	0.07842	0.1174	0.09017	0	0.1133	0.07182	0.2013	0.04361	0	0.1	0.0209	0.001423
8	36	0.0145	0.22	0.78	0.8068	194.2	0.0616	0	0.4036	0.1099	0.4306	0.09222	0	0.1055	0.1088	0.4018	0.04404	0	0.1	0.02867	0.005949
8	37	0.0135	0.18	0.82	0.8229	194.9	0.06122	0	0.4032	0.083	0.3755	0.09282	0	0.1055	0.08826	0.3663	0.0439	0	0.1	0.04068	0.005923
8	38	0.0185	0.26	0.74	0.7485	194.6	0.0606	0	0.4072	0.0843	0.1254	0.09482	0	0.1055	0.08673	0.358	0.04316	0	0.1	0.0262	0.003465
8	39	0.017	0.21	0.79	0.7935	195.8	0.0602	0	0.4076	0.0741	0.1137	0.09617	0	0.1055	0.09047	0.2326	0.04428	0	0.1	0.02355	0.003071
8	40	0.016	0.22	0.78	0.8012	193.6	0.06173	0	0.404	0.1017	0.1762	0.09759	0	0.1094	0.07333	0.3102	0.04409	0	0.1	0.01792	0.003062
8	41	0.0165	0.22	0.78	0.7811	193.8	0.06215	0	0.3972	0.09845	0.2372	0.0989	0	0.1094	0.08305	0.2214	0.04401	0	0.1	0.02642	0.003316
8	42	0.0105	0.18	0.82	0.8189	195.6	0.06281	0	0.4024	0.1008	0.3208	0.0998	0	0.1133	0.0876	0.329	0.04381	0	0.1	0.02354	0.002716
8	43	0.0155	0.21	0.79	0.7665	194.9	0.06322	0	0.4052	0.1036	0.2144	0.09997	0	0.1094	0.1472	0.6905	0.04433	0	0.1	0.02851	0.0255
8	44	0.0155	0.22	0.78	0.774	192.6	0.06345	0	0.4032	0.1294	0.3006	0.1015	0	0.1094	0.09095	0.2799	0.04435	0	0.1	0.01822	0.004544
8	45	0.01	0.17	0.83	0.8166	194.3	0.06306	0	0.3992	0.1187	0.3243	0.1011	0	0.1133	0.09834	0.4512	0.04409	0	0.1	0.0296	0.006393
8	46	0.0165	0.25	0.75	0.7963	194	0.06356	0	0.3976	0.08759	0.1269	0.1029	0	0.1094	0.1131	0.5961	0.04308	0	0.1	0.026	0.01072
8	47	0.015	0.22	0.78	0.7863	194.9	0.06364	0	0.3992	0.1052	0.175	0.1045	0	0.1211	0.1145	0.5736	0.04417	0	0.1	0.02663	0.01636
8	48	0.0145	0.24	0.76	0.7791	194	0.06294	0	0.3964	0.1055	0.2574	0.1047	0	0.1133	0.09427	0.2223	0.04419	0	0.1	0.02555	0.003225
8	49	0.0125	0.18	0.82	0.7771	195.4	0.06317	0	0.396	0.09339	0.2473	0.1069	0	0.1172	0.1197	0.7812	0.04385	0	0.1	0.03259	0.01622
8	50	0.014	0.22	0.78	0.7487	193.6	0.06337	0	0.3952	0.1094	0.2088	0.1068	0	0.1172	0.0979	0.2833	0.04385	0	0.1	0.04508	0.002812
8	51	0.028	0.35	0.65	0.7078	195	0.06306	0	0.3952	0.08822	0.2292	0.1063	0	0.1172	0.1143	0.4449	0.04362	0	0.1	0.03313	0.0122
8	52	0.015	0.23	0.77	0.7655	195.3	0.06306	0	0.3956	0.09045	0.1969	0.1073	0	0.1172	0.1071	0.4786	0.04419	0	0.1	0.02626	0.007958
8	53	0.017	0.26	0.74	0.7262	195	0.06299	0	0.3932	0.07636	0.1564	0.1079	0	0.1172	0.1045	0.4672	0.04462	0	0.1	0.02788	0.009661
8	54	0.015	0.19	0.81	0.7575	194.4	0.06305	0	0.396	0.09806	0.1926	0.1083	0	0.1172	0.08181	0.2501	0.04434	0	0.1	0.02758	0.004711
8	55	0.018	0.28	0.72	0.7328	195	0.06336	0	0.4036	0.113	0.3701	0.1096	0	0.1133	0.1349	0.3879	0.04342	0	0.1	0.04464	0.005851
8	56	0.0165	0.25	0.75	0.7306	192.2	0.0629	0	0.3996	0.1004	0.1971	0.1103	0	0.1094	0.09987	0.1657	0.0434	0	0.1	0.02427	0.001635
8	57	0.0185	0.3	0.7	0.692	193.1	0.06343	0	0.4012	0.08736	0.1355	0.1133	0	0.1133	0.05124	0.068	0.04393	0	0.1	0.01144	0.0006781
8	58	0.0135	0.2	0.8	0.7604	194	0.06422	0	0.3968	0.1195	0.2967	0.1116	0	0.1133	0.1471	0.3152	0.0441	0	0.1	0.02388	0.003667
8	59	0.019	0.31	0.69	0.6808	194	0.06418	0	0.3972	0.1092	0.2469	0.1126	0	0.1172	0.1018	0.2751	0.04471	0	0.1	0.02904	0.002441
8	60	0.0135	0.22	0.78	0.7255	192.9	0.06365	0	0.3988	0.1176	0.2417	0.1132	0	0.1172	0.1371	0.2472	0.04496	0	0.1	0.02725	0.00231
