|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
3	0	0.05	1	0	0.01354	0	0.0344	0	0	0.06897	0.1476	0.04254	0	0	0.03097	0.02562	0.04712	0	0	0.01048	0.001469
3	1	0.05	1	0	0.005069	196.5	0.03297	0	0	0.04419	0.1102	0.03321	0	0	0.04636	0.05438	0.0455	0	0	0.01117	0.002354
3	2	0.05	1	0	0.09371	193.5	0.03381	0	0	0.06493	0.1671	0.02842	0	0	0.04688	0.05812	0.04401	0	0	0.01541	0.002122
3	3	0.05	1	0	0.2655	190.7	0.0346	0	0	0.06152	0.1382	0.02792	0	0	0.05018	0.07121	0.04373	0	0	0.01796	0.002986
3	4	0.0495	0.99	0.01	0.2715	190.4	0.03692	0	0	0.06799	0.2059	0.02692	0	0	0.04246	0.06288	0.04389	0	0	0.01414	0.003711
3	5	0.048	0.96	0.04	0.48	191	0.03855	0	0.1396	0.07326	0.1535	0.02871	0	0.09375	0.0402	0.04619	0.04396	0	0.1	0.02094	0.003993
3	6	0.047	0.93	0.07	0.6049	191.1	0.04001	0	0.2768	0.08057	0.3922	0.03018	0	0.1445	0.05032	0.07296	0.04399	0	0.1	0.01008	0.002186
3	7	0.0445	0.84	0.16	0.5981	190.7	0.04068	0	0.3368	0.0565	0.08661	0.03261	0	0.1602	0.04638	0.05379	0.0436	0	0.1	0.01309	0.00329
3	8	0.0435	0.85	0.15	0.6118	190.1	0.04201	0	0.3676	0.09027	0.2636	0.0338	0	0.1562	0.05043	0.06703	0.04389	0	0.1	0.01553	0.005391
3	9	0.0385	0.74	0.26	0.7106	191.1	0.04423	0	0.3768	0.0636	0.1022	0.03494	0	0.1562	0.04619	0.06467	0.04374	0	0.1	0.01792	0.004249
3	10	0.032	0.63	0.37	0.7496	190.4	0.04541	0	0.3856	0.08074	0.1345	0.03763	0	0.168	0.0539	0.07135	0.04349	0	0.1	0.02316	0.004198
3	11	0.0265	0.51	0.49	0.7754	191.3	0.04677	0	0.3916	0.08407	0.1204	0.03931	0	0.1523	0.04222	0.05264	0.04388	0	0.1	0.02498	0.004414
3	12	0.0235	0.43	0.57	0.8118	190.7	0.04702	0	0.394	0.06029	0.08348	0.04295	0	0.1367	0.04219	0.04237	0.04405	0	0.1	0.0193	0.002595
3	13	0.026	0.47	0.53	0.772	190.8	0.04823	0	0.3944	0.06877	0.1339	0.04457	0	0.1328	0.0408	0.05184	0.04336	0	0.1	0.02278	0.005068
