|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
7	0	0.05	1	0	0.0184	0	0.03375	0	0	0.06807	0.1363	0.04099	0	0	0.03625	0.03367	0.03969	0	0	0.0122	0.001364
7	1	0.05	1	0	0.02582	193	0.03323	0	0	0.05519	0.1546	0.03164	0	0	0.03958	0.03363	0.04181	0	0	0.0112	0.003209
7	2	0.05	1	0	0.09973	192.3	0.03393	0	0	0.05912	0.1397	0.02887	0	0	0.04075	0.03807	0.04371	0	0	0.01567	0.0026
7	3	0.05	1	0	0.1474	191.9	0.03512	0	0	0.07319	0.1742	0.02823	0	0	0.05286	0.07731	0.04381	0	0	0.01702	0.002254
7	4	0.05	1	0	0.3263	190.2	0.03705	0	0	0.0659	0.1335	0.02758	0	0	0.04837	0.06126	0.04351	0	0	0.01799	0.002161
7	5	0.0495	0.99	0.01	0.4317	189.3	0.0382	0	0.1292	0.06265	0.1218	0.02877	0	0.08984	0.03973	0.05097	0.04413	0	0.1	0.02564	0.004248
7	6	0.0465	0.89	0.11	0.5011	191.7	0.03994	0	0.2492	0.08436	0.2071	0.03006	0	0.1484	0.04814	0.07166	0.04434	0	0.1	0.0123	0.002378
7	7	0.046	0.89	0.11	0.5789	192.3	0.04063	0	0.3036	0.06736	0.2848	0.0326	0	0.1641	0.05131	0.08411	0.04362	0	0.1	0.02468	0.004192
7	8	0.0405	0.79	0.21	0.6466	191.3	0.04182	0	0.3288	0.07996	0.1875	0.03328	0	0.168	0.041	0.05016	0.04342	0	0.1	0.02606	0.004755
7	9	0.037	0.71	0.29	0.7509	190.5	0.04409	0	0.3492	0.07327	0.1542	0.03537	0	0.1875	0.05292	0.0695	0.044	0	0.1	0.02796	0.004631
7	10	0.034	0.66	0.34	0.7475	190.6	0.04495	0	0.3588	0.07115	0.1308	0.03798	0	0.1562	0.0523	0.06859	0.04401	0	0.1	0.02129	0.004017
7	11	0.031	0.59	0.41	0.7503	190	0.04522	0	0.364	0.1005	0.2312	0.03962	0	0.1523	0.05713	0.1134	0.04427	0	0.1	0.03049	0.006538
7	12	0.026	0.48	0.52	0.7699	191	0.04676	0	0.3696	0.1103	0.3427	0.04094	0	0.1484	0.04747	0.08282	0.04405	0	0.1	0.02862	0.005496
7	13	0.0235	0.43	0.57	0.7843	190.4	0.04821	0	0.3764	0.07467	0.1435	0.0441	0	0.1523	0.04114	0.03958	0.04447	0	0.1	0.02305	0.005402
